Continente,Pais,Mes,Numero de Visitantes,Lat,Long
America do Sul,Guiana,Novembro,5,4.8604,-58.9302
America do Sul,Guiana,Dezembro,1,4.8604,-58.9302
America do Sul,Paraguai,Janeiro,1525,-23.442,-58.4438
America do Sul,Paraguai,Fevereiro,708,-23.442,-58.4438
America do Sul,Paraguai,Marco,281,-23.442,-58.4438
America do Sul,Paraguai,Abril,214,-23.442,-58.4438
America do Sul,Paraguai,Maio,154,-23.442,-58.4438
America do Sul,Paraguai,Junho,263,-23.442,-58.4438
America do Sul,Paraguai,Julho,197,-23.442,-58.4438
America do Sul,Paraguai,Agosto,187,-23.442,-58.4438
America do Sul,Paraguai,Setembro,209,-23.442,-58.4438
America do Sul,Paraguai,Outubro,165,-23.442,-58.4438
America do Sul,Paraguai,Novembro,124,-23.442,-58.4438
America do Sul,Paraguai,Dezembro,330,-23.442,-58.4438
America do Sul,Peru,Janeiro,1947,-9.19,-75.0152
America do Sul,Peru,Fevereiro,2134,-9.19,-75.0152
America do Sul,Peru,Marco,1923,-9.19,-75.0152
America do Sul,Peru,Abril,1759,-9.19,-75.0152
America do Sul,Peru,Maio,1456,-9.19,-75.0152
America do Sul,Peru,Junho,3663,-9.19,-75.0152
America do Sul,Peru,Julho,3240,-9.19,-75.0152
America do Sul,Peru,Agosto,2213,-9.19,-75.0152
America do Sul,Peru,Setembro,1814,-9.19,-75.0152
America do Sul,Peru,Outubro,1958,-9.19,-75.0152
America do Sul,Peru,Novembro,0,-9.19,-75.0152
America do Sul,Peru,Dezembro,1555,-9.19,-75.0152
America do Sul,Uruguai,Janeiro,3418,-32.5228,-55.765
America do Sul,Uruguai,Fevereiro,4050,-32.5228,-55.765
America do Sul,Uruguai,Marco,3159,-32.5228,-55.765
America do Sul,Uruguai,Abril,4300,-32.5228,-55.765
America do Sul,Uruguai,Maio,2064,-32.5228,-55.765
America do Sul,Uruguai,Junho,2438,-32.5228,-55.765
America do Sul,Uruguai,Julho,2089,-32.5228,-55.765
America do Sul,Uruguai,Agosto,2533,-32.5228,-55.765
America do Sul,Uruguai,Setembro,3215,-32.5228,-55.765
America do Sul,Uruguai,Outubro,1752,-32.5228,-55.765
America do Sul,Uruguai,Novembro,1673,-32.5228,-55.765
America do Sul,Uruguai,Dezembro,2415,-32.5228,-55.765
America do Sul,Venezuela,Janeiro,568,6.4238,-66.5897
America do Sul,Venezuela,Fevereiro,520,6.4238,-66.5897
America do Sul,Venezuela,Marco,830,6.4238,-66.5897
America do Sul,Venezuela,Abril,471,6.4238,-66.5897
America do Sul,Venezuela,Maio,483,6.4238,-66.5897
America do Sul,Venezuela,Junho,490,6.4238,-66.5897
America do Sul,Venezuela,Julho,331,6.4238,-66.5897
America do Sul,Venezuela,Agosto,502,6.4238,-66.5897
America do Sul,Venezuela,Setembro,579,6.4238,-66.5897
America do Sul,Venezuela,Outubro,708,6.4238,-66.5897
America do Sul,Venezuela,Novembro,612,6.4238,-66.5897
America do Sul,Venezuela,Dezembro,871,6.4238,-66.5897
